Content,Ply_name,MOS
mushroom,mushroom_gsigma_0_tsigma_8.ply,94.30498452
cauliflower,cauliflower_tsl_8_tqs_64.ply,92.85136908
honeydew_melon,honeydew_melon_gsigma_0_tsigma_8.ply,92.66246004
litchi,litchi_gsigma_0_tsigma_8.ply,92.5519659
house,house_gQP_1_tQP_1.ply,92.22795336
ship,ship_pqs_1_qs_16.ply,91.89237886
ping-pong_bat,ping-pong_bat_pqs_1_qs_16.ply,91.84153463
flowerpot,flowerpot_tsl_8_tqs_64.ply,91.69369146
flowerpot,flowerpot_pqs_1_qs_16.ply,91.33270127
cake,cake_pqs_1_qs_16.ply,90.78201527
cake,cake_tsl_8_tqs_64.ply,90.65408252
litchi,litchi_pqs_1_qs_16.ply,90.59614947
bag,bag_tsl_8_tqs_64.ply,90.36817669
bag,bag_pqs_1_qs_16.ply,90.340738
house,house_gsigma_0_tsigma_8.ply,90.17113564
cauliflower,cauliflower_pqs_1_qs_16.ply,90.03846164
glasses_case,glasses_case_pqs_1_qs_16.ply,90.00909084
pen_container,pen_container_pqs_1_qs_16.ply,89.99880847
glasses_case,glasses_case_gsigma_0_tsigma_8.ply,89.99496763
banana,banana_level_9.ply,89.49153987
mushroom,mushroom_pqs_1_qs_16.ply,89.21731077
pen_container,pen_container_gsigma_0_tsigma_8.ply,89.21398884
litchi,litchi_tsl_8_tqs_64.ply,89.13485285
bag,bag_gsigma_0_tsigma_8.ply,88.78171897
puer_tea,puer_tea_pqs_1_qs_16.ply,88.77922488
pumpkin,pumpkin_gsigma_0_tsigma_8.ply,88.71289491
house,house_pqs_1_qs_16.ply,88.432011
honeydew_melon,honeydew_melon_pqs_1_qs_16.ply,88.33736389
statue,statue_tsl_8_tqs_64.ply,88.31888572
mushroom,mushroom_tsl_8_tqs_64.ply,88.27427314
litchi,litchi_level_9.ply,88.25654022
honeydew_melon,honeydew_melon_tsl_8_tqs_64.ply,88.0734534
pineapple,pineapple_pqs_1_qs_16.ply,87.77451825
pumpkin,pumpkin_tsl_8_tqs_64.ply,87.77156724
cauliflower,cauliflower_gQP_1_tQP_1.ply,87.62483924
honeydew_melon,honeydew_melon_level_9.ply,87.62268458
statue,statue_pqs_1_qs_16.ply,87.01573408
puer_tea,puer_tea_tsl_6_tqs_64.ply,86.88044877
stone,stone_gsigma_0_tsigma_8.ply,86.87668482
stone,stone_level_9.ply,86.87232128
ship,ship_gQP_1_tQP_1.ply,86.83243163
house,house_tsl_8_tqs_64.ply,86.7884343
bag,bag_gQP_1_tQP_1.ply,86.69456186
pumpkin,pumpkin_tsl_4_tqs_64.ply,86.44648425
ship,ship_tsl_8_tqs_64.ply,86.41452606
bag,bag_gsigma_0_tsigma_16.ply,86.24911138
pineapple,pineapple_tsl_8_tqs_64.ply,86.21409658
banana,banana_tsl_8_tqs_128.ply,86.14465436
ping-pong_bat,ping-pong_bat_gsigma_0_tsigma_8.ply,85.76939372
ping-pong_bat,ping-pong_bat_level_9.ply,85.71748306
pumpkin,pumpkin_pqs_1_qs_16.ply,85.62141081
honeydew_melon,honeydew_melon_gQP_1_tQP_1.ply,85.52765533
pen_container,pen_container_tsl_8_tqs_64.ply,85.34021252
glasses_case,glasses_case_pqs_1_qs_32.ply,85.17535619
statue,statue_gsigma_0_tsigma_8.ply,85.11947303
biscuits,biscuits_pqs_1_qs_16.ply,85.08186966
house,house_tsl_6_tqs_64.ply,84.77302695
banana,banana_tsl_8_tqs_64.ply,84.62807112
pineapple,pineapple_gsigma_0_tsigma_8.ply,84.52102377
flowerpot,flowerpot_gsigma_0_tsigma_8.ply,84.32262699
litchi,litchi_gQP_1_tQP_1.ply,83.82459716
cake,cake_tsl_4_tqs_64.ply,83.76018893
cake,cake_tsl_8_tqs_128.ply,83.19207028
banana,banana_tsl_6_tqs_64.ply,83.18362987
banana,banana_gsigma_0_tsigma_8.ply,83.0931383
pumpkin,pumpkin_pqs_1_qs_32.ply,83.04295679
biscuits,biscuits_tsl_6_tqs_64.ply,83.00914582
banana,banana_pqs_1_qs_16.ply,82.92557282
cake,cake_tsl_6_tqs_64.ply,82.75849407
bag,bag_level_9.ply,82.74107891
tool_box,tool_box_pqs_1_qs_16.ply,82.50891381
cake,cake_gsigma_0_tsigma_8.ply,82.3590312
biscuits,biscuits_gsigma_0_tsigma_8.ply,82.28266671
statue,statue_gQP_1_tQP_1.ply,82.16544475
pen_container,pen_container_tsl_6_tqs_64.ply,81.92204441
ship,ship_gsigma_0_tsigma_8.ply,81.87614964
bag,bag_pqs_1_qs_32.ply,81.83884571
biscuits,biscuits_tsl_8_tqs_64.ply,81.60694704
honeydew_melon,honeydew_melon_tsl_8_tqs_128.ply,81.35073792
glasses_case,glasses_case_tsl_4_tqs_64.ply,81.04599946
stone,stone_pqs_1_qs_16.ply,80.90892544
bag,bag_tsl_8_tqs_128.ply,80.66164159
biscuits,biscuits_gQP_1_tQP_1.ply,80.64772987
pineapple,pineapple_gQP_1_tQP_1.ply,80.61949084
tool_box,tool_box_tsl_6_tqs_64.ply,80.4800722
ship,ship_tsl_6_tqs_64.ply,80.47808166
house,house_tsl_8_tqs_128.ply,80.24781187
cake,cake_gQP_1_tQP_1.ply,80.20526502
pumpkin,pumpkin_gQP_1_tQP_1.ply,80.03200907
banana,banana_tsl_6_tqs_128.ply,79.9250077
puer_tea,puer_tea_tsl_8_tqs_64.ply,79.84533052
cauliflower,cauliflower_tsl_8_tqs_128.ply,79.76526676
cake,cake_tsl_6_tqs_128.ply,79.74237911
ship,ship_gQP_1_tQP_2.ply,79.66953395
honeydew_melon,honeydew_melon_gsigma_0_tsigma_16.ply,79.57471034
glasses_case,glasses_case_gQP_1_tQP_1.ply,79.5227268
glasses_case,glasses_case_tsl_8_tqs_64.ply,79.49317365
puer_tea,puer_tea_gsigma_0_tsigma_8.ply,79.47669335
litchi,litchi_gsigma_0_tsigma_16.ply,78.99324726
pumpkin,pumpkin_tsl_8_tqs_128.ply,78.97698177
biscuits,biscuits_level_9.ply,78.90662046
stone,stone_gQP_1_tQP_1.ply,78.81994767
pumpkin,pumpkin_tsl_4_tqs_128.ply,78.67404727
statue,statue_tsl_8_tqs_128.ply,78.36511751
glasses_case,glasses_case_gsigma_0_tsigma_16.ply,78.22695922
honeydew_melon,honeydew_melon_pqs_1_qs_32.ply,78.17302378
banana,banana_pqs_1_qs_32.ply,78.10954901
flowerpot,flowerpot_gQP_1_tQP_1.ply,77.9924891
puer_tea,puer_tea_gQP_1_tQP_1.ply,77.91470095
glasses_case,glasses_case_tsl_8_tqs_128.ply,77.89721037
puer_tea,puer_tea_level_9.ply,77.84326641
cauliflower,cauliflower_gsigma_0_tsigma_8.ply,77.76226833
mushroom,mushroom_gQP_1_tQP_1.ply,77.73240747
house,house_pqs_1_qs_32.ply,77.69216307
cauliflower,cauliflower_gQP_2_tQP_1.ply,77.6400648
statue,statue_tsl_6_tqs_64.ply,77.30130872
statue,statue_pqs_1_qs_32.ply,77.27978223
ping-pong_bat,ping-pong_bat_tsl_8_tqs_64.ply,77.24077289
pen_container,pen_container_tsl_8_tqs_128.ply,77.20825479
